iter	Passed	Remaining
1353	106911	7789065
1354	106993	7789223
1355	107078	7789579
1356	107159	7789645
1357	107238	7789538
1358	107318	7789529
1359	107393	7789163
1360	107469	7788908
1361	107549	7788886
1362	107626	7788686
1363	107708	7788820
1364	107787	7788727
1365	107860	7788188
1366	107941	7788266
1367	108026	7788634
1368	108104	7788507
1369	108184	7788519
1370	108259	7788100
1371	108345	7788532
1372	108427	7788725
1373	108500	7788194
1374	108580	7788209
1375	108655	7787786
1376	108740	7788194
1377	108820	7788157
1378	108903	7788363
1379	108981	7788198
1380	109055	7787785
1381	109136	7787829
1382	109216	7787851
1383	109296	7787864
1384	109374	7787710
1385	109448	7787255
1386	109529	7787339
1387	109608	7787260
1388	109680	7786662
1389	109754	7786261
1390	109836	7786368
1391	109917	7786440
1392	110001	7786723
1393	110088	7787215
1394	110168	7787202
1395	110244	7786938
1396	110320	7786616
1397	110398	7786474
1398	110474	7786233
1399	110553	7786145
1400	110633	7786122
1401	110719	7786500
1402	110801	7786653
1403	110875	7786215
1404	110952	7786000
1405	111036	7786268
1406	111106	7785606
1407	111183	7785343
1408	111266	7785593
1409	111340	7785127
1410	111417	7784940
1411	111490	7784420
1412	111572	7784584
1413	111651	7784505
1414	111730	7784432
1415	111818	7784949
1416	111887	7784208
1417	111967	7784168
1418	112042	7783838
1419	112122	7783844
1420	112202	7783798
1421	112280	7783655
1422	112364	7783928
1423	112437	7783433
1424	112513	7783193
1425	112588	7782823
1426	112663	7782475
1427	112739	7782209
1428	112816	7781996
1429	112908	7782761
1430	112990	7782927
1431	113068	7782807
1432	113147	7782682
1433	113226	7782640
1434	113305	7782562
1435	113388	7782728
1436	113470	7782904
1437	113555	7783183
1438	113626	7782566
1439	113705	7782523
1440	113789	7782750
1441	113865	7782493
1442	113942	7782257
1443	114024	7782395
1444	114097	7781929
1445	114174	7781711
1446	114250	7781439
1447	114324	7781015
1448	114405	7781075
1449	114480	7780704
1450	114572	7781504
1451	114656	7781791
1452	114743	7782266
1453	114829	7782683
1454	114914	7782979
1455	114989	7782631
1456	115069	7782645
1457	115151	7782752
1458	115233	7782908
1459	115311	7782716
1460	115393	7782855
1461	115469	7782584
1462	115550	7782656
1463	115626	7782333
1464	115699	7781884
1465	115777	7781748
1466	115858	7781765
1467	115933	7781476
1468	116014	7781514
1469	116095	7781537
1470	116178	7781729
1471	116255	7781538
1472	116328	7781080
1473	116399	7780443
1474	116479	7780427
1475	116559	7780411
1476	116642	7780609
1477	116724	7780765
1478	116805	7780802
1479	116879	7780393
1480	116958	7780336
1481	117040	7780452
1482	117123	7780639
1483	117200	7780409
1484	117279	7780361
1485	117356	7780117
1486	117436	7780093
1487	117515	7780013
1488	117588	7779526
1489	117662	7779118
1490	117744	7779299
1491	117827	7779435
1492	117904	7779234
1493	117985	7779284
1494	118066	7779360
